iter	Passed	Remaining
0	25	7511
1	50	7495
2	75	7437
3	96	7117
4	116	6857
5	137	6713
6	157	6575
7	181	6638
8	203	6586
9	226	6569
10	248	6529
11	273	6565
12	294	6509
13	315	6448
14	347	6596
15	378	6711
16	406	6773
17	433	6797
18	461	6821
19	488	6836
20	516	6857
21	541	6841
22	567	6834
23	600	6907
24	626	6888
25	647	6821
26	669	6774
27	692	6731
28	715	6682
29	743	6694
30	778	6755
31	809	6777
32	840	6800
33	871	6819
34	897	6793
35	921	6757
36	945	6723
37	966	6666
38	988	6614
39	1013	6588
40	1040	6571
41	1064	6539
42	1091	6522
43	1113	6478
44	1137	6448
45	1160	6409
46	1183	6372
47	1208	6342
48	1236	6333
49	1271	6355
50	1300	6347
51	1332	6353
52	1364	6358
53	1394	6350
54	1421	6333
55	1445	6298
56	1469	6266
57	1492	6227
58	1519	6205
59	1542	6170
60	1568	6143
61	1597	6134
62	1617	6085
63	1643	6060
64	1668	6033
65	1692	5998
66	1715	5964
67	1749	5967
68	1781	5964
69	1810	5949
70	1838	5931
71	1873	5934
72	1895	5894
73	1918	5858
74	1940	5822
75	1963	5786
76	1988	5757
77	2009	5719
78	2039	5705
79	2067	5686
80	2092	5658
81	2115	5623
82	2135	5584
83	2158	5550
84	2179	5513
85	2202	5480
86	2226	5451
87	2251	5423
88	2278	5401
89	2305	5379
90	2337	5369
91	2368	5354
92	2403	5349
93	2434	5336
94	2465	5319
95	2488	5288
96	2510	5253
97	2538	5231
98	2560	5198
99	2590	5181
100	2612	5148
101	2635	5116
102	2657	5083
103	2678	5048
104	2702	5019
105	2726	4989
106	2748	4958
107	2775	4933
108	2796	4900
109	2821	4873
110	2847	4848
111	2873	4823
112	2904	4806
113	2932	4784
114	2960	4762
115	2990	4743
116	3023	4729
117	3054	4711
118	3079	4684
119	3104	4657
120	3127	4626
121	3148	4593
122	3172	4564
123	3197	4537
124	3218	4506
125	3241	4476
126	3262	4444
127	3290	4421
128	3313	4392
129	3336	4363
130	3359	4334
131	3382	4305
132	3406	4277
133	3429	4249
134	3453	4220
135	3474	4190
136	3498	4162
137	3528	4142
138	3556	4119
139	3596	4110
140	3632	4096
141	3660	4073
142	3689	4051
143	3716	4026
144	3737	3995
145	3761	3967
146	3802	3958
147	3832	3935
148	3862	3914
149	3892	3892
150	3926	3874
151	3951	3847
152	3978	3822
153	4003	3795
154	4036	3775
155	4066	3753
156	4095	3729
157	4128	3710
158	4159	3688
159	4187	3663
160	4214	3638
161	4237	3609
162	4264	3584
163	4289	3557
164	4313	3529
165	4337	3501
166	4367	3478
167	4394	3452
168	4423	3429
169	4454	3406
170	4485	3383
171	4516	3361
172	4544	3336
173	4574	3312
174	4598	3284
175	4623	3257
176	4647	3229
177	4675	3204
178	4704	3180
179	4738	3158
180	4766	3134
181	4797	3110
182	4833	3090
183	4858	3063
184	4883	3035
185	4907	3007
186	4927	2977
187	4951	2949
188	4975	2921
189	4997	2893
190	5021	2865
191	5048	2839
192	5073	2812
193	5105	2789
194	5137	2766
195	5166	2741
196	5199	2718
197	5230	2694
198	5255	2667
199	5280	2640
200	5308	2614
201	5332	2587
202	5359	2561
203	5381	2532
204	5405	2504
205	5426	2476
206	5450	2448
207	5472	2420
208	5494	2392
209	5516	2364
210	5544	2338
211	5579	2315
212	5613	2292
213	5643	2267
214	5674	2243
215	5705	2218
216	5734	2193
217	5758	2166
218	5782	2138
219	5810	2112
220	5833	2085
221	5855	2057
222	5877	2029
223	5902	2002
224	5925	1975
225	5949	1948
226	5970	1919
227	5994	1893
228	6020	1866
229	6052	1841
230	6081	1816
231	6107	1790
232	6139	1765
233	6173	1741
234	6208	1717
235	6236	1691
236	6260	1664
237	6282	1636
238	6305	1609
239	6331	1582
240	6352	1555
241	6375	1527
242	6398	1500
243	6422	1474
244	6446	1447
245	6471	1420
246	6495	1393
247	6519	1366
248	6543	1340
249	6569	1313
250	6596	1287
251	6620	1261
252	6646	1234
253	6674	1208
254	6703	1182
255	6730	1156
256	6764	1131
257	6795	1106
258	6821	1079
259	6845	1053
260	6868	1026
261	6890	999
262	6915	972
263	6939	946
264	6963	919
265	6988	893
266	7011	866
267	7041	840
268	7065	814
269	7090	787
270	7115	761
271	7138	734
272	7161	708
273	7183	681
274	7204	654
275	7230	628
276	7257	602
277	7287	576
278	7318	550
279	7348	524
280	7376	498
281	7400	472
282	7422	445
283	7448	419
284	7473	393
285	7496	366
286	7523	340
287	7554	314
288	7584	288
289	7607	262
290	7631	236
291	7655	209
292	7678	183
293	7704	157
294	7727	130
295	7752	104
296	7780	78
297	7806	52
298	7834	26
299	7855	0
