run,seed,regime,det,att_block,att_total,fp,legit_block,legit_total,att_source_ips,att_clients,legit_source_ips,legit_clients,duration_s
1,1001,baseline,0.88,22,25,0.0,0,50,1,1,50,50,73.9
1,1001,nat_shared,0.88,22,25,0.58,29,50,1,1,3,50,73.4
1,1001,vpn_rotate,0.0,0,25,0.0,0,50,25,25,50,50,74.1
1,1001,bursty,0.88,22,25,0.65,13,20,1,1,1,1,67.1
2,1002,baseline,0.88,22,25,0.0,0,50,1,1,50,50,74.0
2,1002,nat_shared,0.88,22,25,0.58,29,50,1,1,3,50,73.4
2,1002,vpn_rotate,0.0,0,25,0.0,0,50,25,25,50,50,74.4
2,1002,bursty,0.88,22,25,0.65,13,20,1,1,1,1,67.1
3,1003,baseline,0.88,22,25,0.0,0,50,1,1,50,50,74.5
3,1003,nat_shared,0.88,22,25,0.58,29,50,1,1,3,50,73.0
3,1003,vpn_rotate,0.0,0,25,0.0,0,50,25,25,50,50,73.9
3,1003,bursty,0.88,22,25,0.65,13,20,1,1,1,1,67.2
4,1004,baseline,0.88,22,25,0.0,0,50,1,1,50,50,75.0
4,1004,nat_shared,0.88,22,25,0.58,29,50,1,1,3,50,72.7
4,1004,vpn_rotate,0.0,0,25,0.0,0,50,25,25,50,50,74.6
4,1004,bursty,0.88,22,25,0.65,13,20,1,1,1,1,67.3
5,1005,baseline,0.88,22,25,0.0,0,50,1,1,50,50,74.7
5,1005,nat_shared,0.88,22,25,0.58,29,50,1,1,3,50,73.5
5,1005,vpn_rotate,0.0,0,25,0.0,0,50,25,25,50,50,74.7
5,1005,bursty,0.88,22,25,0.65,13,20,1,1,1,1,66.9
